negara,tahun_18,tahun_19,tahun_20,tahun_21,tahun_22
Afganistan,1139,703,103,20,214
Afrika Tengah Rep.,14,170,7,2,10
Albania,758,1041,196,26,310
Aljazair / Algeria,4214,5000,792,89,915
Andorra,219,235,26,2,60
Angola,250,208,65,48,81
Antigua & Barbuda,70,91,17,2,23
Argentina,11468,9994,3066,114,3528
Armenia,857,1281,258,19,501
Aruba,0,81,24,0,1
Australia,1301478,1386803,256291,3196,655370
Austria,29492,28476,4858,2103,17708
Azerbaijan,1233,1445,374,49,717
Bahama Islands,114,172,18,3,71
Bahrain,2324,2631,373,35,894
Bangladesh,56564,59777,12866,1001,9593
Barbados,105,103,25,1,35
Belarus,4821,6644,3092,617,3276
Belgium,50050,46780,5902,798,21120
Belize,46,51,11,2,14
Benin,214,153,15,7,33
Bhutan,674,867,194,6,173
Bolivia,462,484,93,9,102
Bosnia Herzegovina,1057,1354,280,36,357
Bostwana,304,382,98,0,74
Brazilia,26503,30232,5945,952,14855
British Indian Ocean Teritory,0,4,0,0,0
Brunei Darussalam,17279,19278,2701,144,4798
Bulgaria,8405,7652,2575,211,2488
Burkina Faso,227,188,45,2,48
Burundi,36,54,6,1,23
Canada,97908,103616,23200,1242,36042
Cape Verde,149,189,49,0,41
Ceko,22848,23941,6178,496,7607
Central America,2629,2786,529,87,717
Chad,95,122,28,4,34
Chili,11008,10029,2615,91,2330
China,2139161,2072079,239768,54713,169378
Comoros,203,304,51,10,43
Congo,42,82,7,4,28
Congo Rep. Dem.,185,158,43,6,86
Cooks Islands,1,0,0,0,0
Costarika,855,899,180,29,236
Croasia,4115,5257,1388,392,1860
Cyprus,1899,3913,650,29,1259
Denmark,46825,45090,10533,557,20913
Djibouti,50,54,21,11,32
Dominika,171,282,66,8,68
Dominika Rep.,288,407,66,5,102
Egypt,18075,21354,4337,611,7326
Ekuador,1176,1397,236,16,407
El Salvador,262,306,48,3,66
Eritrea,312,205,40,12,48
Estonia,7719,6644,3099,230,2124
Ethiopia,528,577,108,43,318
Falkland Islands,0,0,0,0,1
Fiji Islands,1158,1507,369,18,335
Finland,27127,22665,6376,240,5480
France,287917,283814,43438,3776,134541
Gabon,85,153,20,2,46
Gambia,344,299,57,11,62
Georgia,631,768,327,119,535
Germany,274166,277653,46361,3429,128634
Ghana,1373,1864,446,80,381
Grenadines (Grenada),112,89,28,2,25
Guadelope,0,0,1,0,0
Guatemala,467,503,67,12,124
Guiana,5,3,2,0,0
Guinea,87,56,25,7,33
Guinea Bissau,133,108,20,4,8
Guinea Equator,11,47,19,0,5
Guyana,77,88,17,2,31
Haiti,74,102,22,3,17
Hellenic,0,7,0,0,0
Honduras,331,340,87,18,86
Hong Kong,91182,50324,2625,2432,7086
Hongaria,13434,14218,3664,218,6384
I t a l y,94288,91229,13260,2339,47415
Iceland (Islandia),2445,2483,491,38,632
India,595636,657300,111724,6670,281814
Irak,2356,2933,817,127,1180
Iran,11415,10440,1354,300,3073
Irlandia (Ireland),28742,28602,5167,291,16003
Israel,473,924,338,505,1075
Ivory Coast (Pantai Gading),834,729,123,49,137
Jamaika,423,558,112,11,93
Japan,530573,519623,92228,5952,73913
Jordan,6228,6571,1027,167,2516
Kaledonia,0,2,0,0,6
Kamboja,8875,13843,2227,228,4945
Kamerun,266,242,68,13,97
Karibati (Kiribati),52,50,21,24,4
Kazakhstan,7955,9781,3735,378,2282
Kenya,3020,2845,429,65,946
Kirgistan,1237,1332,609,246,461
Kolombia,5445,6304,1324,96,3992
Korea Utara,622,241,9,3,6
Kuba,526,764,171,20,244
Kuwait,5551,5762,846,75,2216
Lain-lain,92,22,21,6,35
Laos,3809,4142,753,7,1102
Latvia,4213,5278,1860,329,2478
